registro,Ener_1_mean_50,Ener_1_variance_50,Ener_2_mean_50,Ener_2_variance_50,Ener_3_mean_50,Ener_3_variance_50,Ener_5_mean_50,Ener_5_variance_50,Ener_6_mean_50,Ener_6_variance_50,Ener_7_mean_50,Ener_7_variance_50
55,119.62073113406153,3.4793357036877732,179.64004035913777,24.111010145823865,29.820408299001755,0.2264468079091801,4.954235344398956,0.014957936171709065,996.0754131312101,2.1426234361758354,500.5163436025531,1.1129797786872342
56,119.47273312635627,3.703232749906734,179.3067151196845,22.110126361246525,29.817965227118417,0.22855516442923202,4.949569046992592,0.015828845777526003,995.9541293923638,2.018386521314991,500.520562989431,1.1084296037569443
57,119.31110196398078,3.8110842773905436,179.3628648466091,22.078669842093568,29.806614914233677,0.22589908090553235,4.945898335899968,0.017129817063363403,995.831802782057,1.922856045154102,500.55479148981874,1.1076283879844564
58,119.239527749621,3.644097958468956,179.2742341592374,21.971861565333345,29.79158826044114,0.2348548466636628,4.940670991891779,0.01721591451519586,995.7101933534282,1.8379252134010142,500.5348851261544,1.1198406334845388
59,119.13163066320502,4.219223555152182,179.3311441685081,22.003669335345517,29.790348555143396,0.23501591452034054,4.932947574050286,0.017967017279967315,995.5924244175919,1.81797039615594,500.5481152157951,1.128272019298859
60,119.02762105397198,3.952768264376317,179.17964371352105,23.592423445195223,29.764890271443733,0.24306141969674078,4.928991389262498,0.01835230099881565,995.4755502750976,1.8174072644509662,500.5686371246133,1.0685993955343887
61,118.98277761874098,4.135513861235559,179.04921476904678,23.17860142414964,29.727726634627874,0.2289959035654896,4.922715291218135,0.018561943927984943,995.3645769059701,1.7833534484575608,500.65649677098486,1.1636340155523022
62,118.87577305501111,4.846365660924175,178.7628525778863,20.37865770712566,29.709762860564524,0.2497375823676527,4.917155685708242,0.017686023050347867,995.2560979686604,1.7489560112374904,500.72208950184097,1.191245653748683
63,118.86970907240922,4.847014043685365,178.51212773483542,20.45969090703641,29.675143316784172,0.2752395033564931,4.913256907573707,0.017618202158258857,995.1520335823402,1.7271259917788708,500.72741953644663,1.1788538823326533
64,118.74735226086088,5.180717074920459,178.24146517155106,20.98960104680308,29.66423897761357,0.2756090602945515,4.909136622914713,0.01796683100368261,995.0531556075205,1.7501458641854604,500.74765770728476,1.1544623850342197
65,118.8222200846621,5.3480237354656355,178.15734545554912,21.132254237020035,29.625035858185992,0.30431569577663514,4.9053179315007025,0.017764933335127357,994.9527097843663,1.771823702884721,500.7901999015514,1.1710831626134588
66,118.88012436219964,5.350766839149943,177.96024087178284,20.73588827775456,29.61336238547613,0.3019790559497261,4.900930986544488,0.016884429777207246,994.8476604449762,1.8262767249935317,500.8077639653867,1.1824357508729855
67,118.85731629615012,5.419266068259018,177.8752526451283,19.77393055773422,29.604090341114464,0.30537352686018476,4.896985534239934,0.016503241436950044,994.7532629526389,1.9418992859228268,500.8506368733891,1.1350859907268496
68,118.73337414103673,6.138903069293177,177.9565749697618,19.688662228891065,29.614592836163148,0.3115651691246219,4.897854350932079,0.016490310067743964,994.6567830610559,2.0692898815594454,500.8909687062499,1.1131193807995536
69,118.68301098387765,6.146788503915059,177.79473374790905,20.378800180163218,29.601208182412662,0.3054035814401561,4.897966536137759,0.01649212010681806,994.5639964330611,2.1718977760838674,500.9597174359271,1.0555594316642656
70,118.72617723140442,6.197418725532362,177.71045869729133,20.70495533725208,29.589843148221966,0.30271023407633946,4.896660064857113,0.016308954965696832,994.4672511980302,2.266304564166764,501.03835194223853,1.1270970167689667
71,118.75515802762744,6.15336145863992,177.7354894525693,20.66825952809932,29.561416595035148,0.30573842279634217,4.8961444568678125,0.016210511723273726,994.3717000042344,2.357742988899798,501.03986358411487,1.1246632169807333
72,118.7213439445011,6.0939786194089685,177.60803043274632,19.74366436361776,29.555928709812033,0.31220966479105405,4.893428986587163,0.016102062316678992,994.2841114510171,2.404833056230547,501.0737192543818,1.078559820060224
73,118.64638814941596,5.68315825630006,177.65369193782854,19.909864617981018,29.524668971812044,0.3037256731078426,4.887545685796036,0.01474131401650552,994.2033488421746,2.435698491654886,501.07838755994817,1.063974767707518
74,118.5470691944268,6.150986062302123,177.50124779919292,19.790579090852646,29.493717820552742,0.28319398776448007,4.882760990477837,0.015181287030334225,994.120777168416,2.4870900850584783,501.1076176394816,1.0404428320314785
75,118.48781956114446,5.987466611518282,177.36837485842807,19.51767342129156,29.469600417964543,0.28894569489181393,4.874431197233418,0.0159422525511473,994.0276980262566,2.5222540719995514,501.1557372310773,1.1197490454041057
76,118.49708633708963,6.011585759750861,177.1148966966199,22.42961915478469,29.451628082088455,0.27782022621918073,4.864316378781536,0.015773634610314245,993.9317484110097,2.522445137181439,501.2035781499879,1.0825113135645041
77,118.37725882557918,6.173679514927009,177.0450993028219,23.406617319636887,29.42058595699263,0.2683313058247633,4.857699952073249,0.01527632810214718,993.8373872005097,2.509702742494523,501.2185864004134,1.1047553198560458
78,118.25776905925088,6.226513782918421,177.06508576997493,23.44240917436193,29.415847102602935,0.2660358941173069,4.855242594155591,0.015657293017574663,993.7458590959709,2.4695455618178572,501.2591530162377,1.0624701773889247
79,118.24765570373027,6.207475836695183,176.79501281466088,24.496881888269538,29.387299237656844,0.2744669034221299,4.850560604223536,0.016060728914114572,993.6462339974297,2.425827857937278,501.27313238634224,1.040992239176908
80,118.26949535446361,6.194036562161614,176.4872872556471,26.855447132462846,29.371587149144215,0.2643712733787226,4.844331676017394,0.016483579666771227,993.5424857579419,2.3238436010339956,501.23928779737196,1.064762891264056
81,118.20939393023009,6.545694351808835,176.6474824932436,25.772106161867907,29.377495569883,0.2685364660041224,4.8360444150335065,0.01522077967663757,993.4475178393939,2.251048018722364,501.2768312985278,1.1318220867351303
82,118.0358814678238,6.852991608696515,176.41325906287636,25.480803712652385,29.374867137409495,0.2661232215722643,4.826648225303989,0.0150423230018537,993.3549161760878,2.230806998835107,501.29067208618113,1.1194958627930591
83,117.92911993930743,6.8840766454045506,176.2736663087979,26.543184897692296,29.36722449385511,0.27797579460364413,4.814092322600579,0.015843241806241973,993.2613607752756,2.24514252922516,501.2996240630541,1.1187728101580934
84,117.75281214537836,7.27536590382667,175.95121559066357,28.193362739763433,29.36545046196137,0.27769586136993385,4.807597263246902,0.01621457747028989,993.1661817132804,2.24595356988243,501.3057379554853,1.0971036576390671
85,117.61199808664955,7.475278945770995,175.60343716886655,29.375464757779472,29.308736109762357,0.30477096526733544,4.800484387714957,0.015551824747915971,993.0768295268072,2.275148997266548,501.2766893941945,1.0680936789023405
86,117.46117009095298,7.492845604192609,175.3908327663338,29.28957807593954,29.2691575968181,0.3297106412161464,4.795030993427185,0.0161052460785779,992.9827173224455,2.302724246647615,501.3236333609345,1.0085975193504997
87,117.41542311321237,7.407157567997482,175.06576815962129,26.21155268061349,29.262673645690985,0.3305333482757299,4.788367311184655,0.017024824155397907,992.89198479282,2.3311852251929324,501.3463045905896,1.0169560114451612
88,117.4489707591761,7.36418567566459,174.96569442889765,24.98898183339775,29.258633994323354,0.332408060890378,4.782673542889982,0.018550147303353366,992.7984909938028,2.345037115157807,501.376023166087,1.093692313067421
89,117.39864036500332,7.278678830157446,174.87143223278937,25.203383277496826,29.218376942976878,0.2704343351616445,4.773692704070418,0.021525031191128495,992.7058785070772,2.356822110161875,501.3857268240595,1.091813317241073
90,117.20856570491685,7.112242723779941,174.74641951718743,25.546430052580018,29.19918225555282,0.2827714609565693,4.764462331508072,0.024695278682479994,992.6124646264636,2.3924177991128786,501.40463131090297,1.0851165834128984
91,117.10452582343797,7.157339549850258,174.5951588932966,25.720682497327708,29.17135836076144,0.3065616627145484,4.7557334289941995,0.027538255872566617,992.5073940616192,2.430897997036587,501.4325655623963,1.1549920295308544
92,117.04787860179484,7.407649290181866,174.27343498479436,29.69656940393428,29.125353559629403,0.33494533821138645,4.749839409668224,0.02847178780957286,992.3960494491387,2.4862564335272768,501.46363834753197,1.2050579641111234
93,116.93811028443577,7.304434428594876,174.05411711292138,29.565203900985008,29.102820022992194,0.35383518082144266,4.74409272537707,0.029115597133571956,992.2816436187098,2.569716980328225,501.4652302829494,1.2016430158629012
94,116.79139245472874,6.56422305432651,174.09585978072457,29.50584338270061,29.083042505293328,0.3430147158062862,4.7370188696835065,0.028120888947005,992.1666017587906,2.5950226349836,501.4833611157535,1.2535135327777862
95,116.70344155289287,6.825195743440914,173.8294999589053,27.221341137271327,29.06855675420444,0.33626245459747794,4.728418286819871,0.026439876252557545,992.0426191162412,2.626200199374998,501.4861630215626,1.246316093987694
96,116.55744223472328,7.147394120077335,173.7643709051043,26.875394338296616,29.060156515853645,0.3401024313102394,4.720268287187174,0.02549159016546712,991.9223462134363,2.640579592599928,501.4830755888113,1.2401151263434016
97,116.50785750044386,6.979166661773042,173.59697816776253,24.611739588868446,29.03823741008018,0.33791713191492767,4.713315903036247,0.02486717520825373,991.8070628295608,2.5956746390706584,501.50626801851035,1.2694063214523719
98,116.44800787911879,6.8750146108834045,173.40884320531794,27.105374439653804,29.028243919552278,0.3280266010178292,4.706048106883386,0.022573874716743735,991.6902577343149,2.496799365186052,501.5378935991314,1.25879121291537
99,116.33390236291638,6.710637249101055,173.31813634863775,27.845864464334284,29.028936710642014,0.32809540173213214,4.69972418830859,0.02143901281199767,991.5739381530879,2.3929289975218744,501.57081510293955,1.2069274769145706
100,116.21066203737414,7.182588862859769,173.16525449698736,26.04754215157821,29.0089406495154,0.3153046748155317,4.6938203940956456,0.020044163217796503,991.4675081713016,2.2606157878742823,501.57867388062573,1.2034337353481523
101,116.12223588688008,6.984897976886088,173.09344977795584,26.16955143311911,28.98902497749766,0.2987873253677858,4.691683212637269,0.019803725970189635,991.3672077461894,2.1957478310638296,501.5615815279666,1.2590554214064267
102,115.96963348132812,6.79071730064518,173.02949462544376,26.485428075705812,28.977964377254015,0.3040676643176701,4.689731060709942,0.01956434472591931,991.2639157073011,2.1478840696497827,501.582461950172,1.26324769403062
103,115.79000941193051,7.803615664232256,172.86611001648208,24.516037711495848,28.95283661338565,0.2954102745205588,4.691711135214405,0.01979898672794147,991.1621969013271,2.09252360096911,501.5878513260717,1.2673572406755498
104,115.6354118005282,7.7908531063385045,172.71616556871115,25.614560277504395,28.9174770525206,0.31002026101127206,4.69507401022751,0.02003943204172119,991.064004130754,2.0100221744226814,501.62028728818666,1.3448961273302078
105,115.56647819291098,7.811610822671326,172.49127164351677,26.26591960938807,28.899106715125363,0.31211718563609814,4.697777062414794,0.020284473375560132,990.9667153497005,1.969873151358483,501.607081888713,1.3301968913541755
106,115.5094170602487,8.028091996512966,172.3104648867659,27.313646738870407,28.869367457953768,0.32986822284372713,4.699162840549843,0.020510628174286748,990.8744238151392,1.9215140807526279,501.637060170033,1.2826543564877597
107,115.48041681415576,8.09886127373125,171.944894088835,27.91268064630707,28.851685676272936,0.31757664564891885,4.697742326999952,0.020660405449613048,990.7919573053919,1.8672189617652464,501.6419886352224,1.2813026205819604
108,115.37499732760149,7.977099521813709,171.74161637336204,27.594040720130195,28.837433203400625,0.3195973586134959,4.69375947725471,0.020585557723677032,990.7106384555597,1.819306489904245,501.6734930302708,1.2090637407384341
109,115.2996196174567,8.491737631833596,171.50849027559514,25.906920842773236,28.80069728087579,0.32268245955344416,4.690015494208072,0.02126876394521591,990.6328703468507,1.7916664068433859,501.6843239174293,1.2041210443842973
110,115.21553002257608,8.427405779415906,171.3623620031272,27.326237793581264,28.78880187156518,0.3252515213260217,4.684292574464707,0.021804641059228684,990.5553607788216,1.7785941848842213,501.71480531280554,1.1238178470656965
111,115.16938078727894,8.470627531804213,171.16435678240694,26.843397336524003,28.780113709444212,0.32523363871858696,4.679357221740033,0.022334692769917015,990.469147656665,1.7559833294169218,501.7047171358318,1.095465790779458
112,115.14609379188617,8.600888079990956,170.93067570836257,27.011039766212406,28.75679961857808,0.35603829848738894,4.673427847500181,0.021929094489142095,990.3782227252699,1.7454195306706592,501.7068100491145,1.0992327740235428
113,115.00853676902383,8.558074694684215,170.83161416892275,27.24285999329729,28.743714732770623,0.37236410533047937,4.672364047599371,0.021653875006374917,990.2913242565508,1.7103036381177048,501.7285759527884,1.0346129762405203
114,114.9531935038005,8.778455030921736,170.91181849389406,27.53491660161208,28.704515092831386,0.39825424692494327,4.675380797021976,0.022689886398703164,990.2143530043202,1.6569817345150597,501.7630303848166,1.0183344199344555
115,114.8084699382885,7.81779746923861,170.75981290437085,27.339636682874193,28.695452289010518,0.40973624129036373,4.67715762542611,0.023436220447764416,990.1361535104337,1.6161589557719747,501.790855767251,1.0718621009623088
116,114.6443925668633,7.317654002716567,170.62866989192426,27.301170664855555,28.67705542778452,0.39925121044246265,4.679169080036839,0.02451962162998913,990.0630770403021,1.6022252340578784,501.8273362659376,1.1208288343598214
117,114.5371587917641,7.4149770388796785,170.5421363320827,25.78410128925625,28.64918724002212,0.4084811813783161,4.681462302029619,0.025571124618697285,989.993424646311,1.5921628405903503,501.8261710855997,1.1220083454310188
118,114.52046721451876,7.48632042171902,170.23500013765158,24.926487682029034,28.60716267466707,0.3671436288279795,4.6830550994319875,0.02644686572610248,989.9262378115092,1.5912667877579478,501.8678016574884,1.1904863481904289
119,114.40972841789898,7.454946115801,170.18960290585264,24.890087509650165,28.5664168519202,0.3760063479864222,4.685340140121553,0.027759828276276946,989.8583396721396,1.5692184096734998,501.8601597965161,1.1876981446345647
120,114.21455720303683,6.990098417560887,169.98542333132028,25.4912275138091,28.54035467905039,0.3641676018373609,4.685369712680123,0.027774839856589805,989.7841332656411,1.5779353621989625,501.8403999456135,1.1446943486230792
121,113.99988047069371,7.320375844088099,169.83109755413992,24.27426358221731,28.516751255733293,0.3789014667093393,4.683803285171599,0.026965032407079727,989.717113216076,1.5593800905901787,501.87602829624296,1.09528547427976
122,113.83946910395817,7.050800650279392,169.4952861401424,24.287082098955175,28.500082214232734,0.3816729091306974,4.681653974639744,0.02648249902110667,989.6401407738641,1.516681422425425,501.8760694322428,1.0952318210882377
123,113.68065279650973,6.4787015922615385,169.16187910910583,22.319192280947828,28.48279044999617,0.3827999615742295,4.679148425173473,0.02590112486545439,989.5630559167151,1.4366579819484098,501.91645943667527,0.9942859785293734
124,113.62077161222537,6.642710326184984,168.9296776224203,22.65139706963099,28.442186815204177,0.4173643941564199,4.679496197447135,0.025936505636633734,989.4915071552645,1.3670365659459265,501.9623987167453,1.0541316085806947
125,113.4348021115944,6.562439705073614,168.62553251243983,23.434627594774508,28.410547294794004,0.44677559155995133,4.681795888993426,0.025947927685580047,989.4243280606821,1.3088033984267695,501.97502346652885,1.0924991785392495
126,113.22584128784104,5.946163041750609,168.40565699584084,27.355097316203274,28.369846625736145,0.4545071963396619,4.682310937861627,0.025901147189356807,989.358718379934,1.235395289726122,501.999179496352,1.1226242480769626
127,113.16593136697401,5.935768689032192,168.37079556445872,27.410842745026887,28.36038919586529,0.45048715441922976,4.680711211298943,0.025865486885088114,989.2917814856233,1.1543833274999082,501.99924782292794,1.1226681752504601
128,112.98926503432546,6.794095898066667,168.02801320283163,26.247282022615625,28.331481879216376,0.4228497847706873,4.679902908392052,0.025834873897796942,989.2308235291853,1.038295434852847,502.0516525339979,1.2324982676119653
129,112.77117315307144,6.531599716889661,167.92070446646133,26.771125516987503,28.309146112093575,0.4381448980019425,4.6807266540641645,0.025891878075189508,989.1799572027302,0.9403628672574783,502.1057877608501,1.2476837828095324
130,112.59354698025182,6.0313372051291365,167.88464991388045,27.036872531002444,28.297306835635567,0.4211766363440644,4.6829907621967894,0.02604529812314886,989.1332728688764,0.8299783059241606,502.1541541012139,1.1633025645262192
131,112.54194382729719,6.030067210339161,167.46920494726578,27.718943316227254,28.232895842470114,0.4221880894460426,4.683844885899206,0.02612479652402731,989.0891919293869,0.7145450125416234,502.1060540044338,1.1888971687831906
132,112.53743714286524,6.027633052017623,167.27608298119895,28.080159300765445,28.180642133904826,0.39582205596290815,4.686653948298596,0.026071625105559052,989.0523554769002,0.62421335608783,502.15223791494566,1.2095237226878446
133,112.44786453209275,5.947415043282894,166.9823206900376,31.286842838068285,28.16855814413046,0.3972187513150826,4.692785330518302,0.025305595111333505,989.0195254250627,0.5547021655118703,502.2007072733849,1.2604295549786455
134,112.35250934013426,6.421909987420534,166.8883971071973,32.00371086990658,28.124831630639815,0.3829899233817786,4.695362996943196,0.02525731129553229,988.9885499071486,0.48821898861950896,502.2685303726306,1.1469027305904913
135,112.1849768927898,7.444422499087883,166.98827110292692,32.20261648892161,28.10570736193719,0.4184308971698963,4.695406184271351,0.025255334418166176,988.9611036952531,0.4284751079600597,502.26326616353515,1.1613326225453509
136,112.15477059876098,7.396105762328114,166.7807578753106,32.919330309188936,28.092183504745886,0.43074926450843537,4.696096301942868,0.025161250752926734,988.9376372991297,0.3807106488839446,502.2846033935905,1.1662200253064319
137,111.94308165339493,7.451713133054693,166.48050966345718,34.38709118240868,28.079665647772014,0.4143285727514085,4.698844340545288,0.024761486739473513,988.9153245900794,0.3337612504171167,502.3413039795024,1.3035702798881865
138,111.75923982674709,7.002977643979029,166.10626932145303,32.20987277922913,28.03345908654402,0.4406815886902408,4.704147131988095,0.024144441873655446,988.894098150826,0.2904453239922626,502.32607237904364,1.2832134465398695
139,111.57473762209148,6.732449172912583,166.07436027021114,31.91295895689025,27.98644626016239,0.4597614612528022,4.713925209947851,0.022683047580252587,988.8734234407327,0.24935365256684633,502.39040290621057,1.3854345775734553
140,111.46943069953348,6.984747222863265,165.858271154311,32.36698521095515,27.946678782205318,0.504136929230277,4.7226337472987145,0.020362979886131016,988.8586159811633,0.22212901635985488,502.4265895101725,1.3994943516686549
141,111.28992269814063,7.543135065578195,165.52778760374233,34.81548064503843,27.91956737710033,0.5340258070109838,4.735147120636708,0.019500519801079582,988.8557766620253,0.21734544581920537,502.4171104089075,1.3862656724014357
142,111.24278640883507,7.442121626417818,165.36488316365697,37.868509976624814,27.91420590614959,0.5379101793406021,4.743535687572807,0.019469694667953827,988.8577138363155,0.21978142989487873,502.4417081276317,1.4465032946804939
143,111.06142455308996,7.803594180801538,165.16661193734194,38.373576445267155,27.904038137475595,0.5383943810037451,4.751258506123634,0.01937634188216945,988.8603731946548,0.2215652613622109,502.4777122785963,1.3652000665830994
144,110.89911164863106,7.594630741085935,164.97657594174217,36.58985491509426,27.850231773932073,0.5774552903862346,4.7598768541290255,0.021003328038404948,988.8628940873463,0.2238375632018072,502.4440253581881,1.3633874242949824
145,110.7610173792295,7.929363185371931,164.80296016992207,35.78338107675278,27.81287982280376,0.5639852935772581,4.765744806630207,0.020971762383491778,988.8710224363148,0.22745510850420855,502.4718195112475,1.2801777451043561
146,110.68606414109995,8.036174385685113,164.6250346920298,33.746565095453626,27.782629852735305,0.5592715888427019,4.772791146572409,0.02074882970599159,988.8782205901232,0.23072233287609917,502.4865694436857,1.2886402911575632
147,110.47393362384487,7.571995650822416,164.36840054636767,31.018092174308823,27.738641630723915,0.5871250895460625,4.779273739906216,0.020391933642131977,988.8759700936336,0.22961947021767348,502.5004496119563,1.304130258734426
148,110.27692424603374,7.357399760091584,164.32173339421178,31.32351574460463,27.69374462946481,0.5477497842908129,4.781253931277584,0.020197325301966888,988.8737922354786,0.2282239108069768,502.5030694474681,1.302590375319846
149,110.16458017954238,7.078868035738917,163.90933656251792,37.49244823324823,27.64787567858951,0.5218162465472369,4.7816712625405815,0.02007952891792721,988.8721110185219,0.22737752564274968,502.5549814189734,1.342237531643381
150,110.05123821805502,7.455128710527991,163.73299011610155,34.989909194257876,27.613619083885506,0.4976751739262958,4.783888437817484,0.019797160148640622,988.8627750583872,0.22036036893531932,502.5857109386621,1.3266387661254235
151,109.92937259173155,6.954155791179713,163.36136168813798,36.7617816537394,27.543885791459935,0.5566788149028165,4.786747756625377,0.019684031103434512,988.8552686561364,0.21760189853059145,502.6717641528555,1.1634644515956716
152,109.74249094015444,7.5848212602963665,163.39088792327652,37.14770147997494,27.507222267048704,0.5543659331361225,4.7915529299693125,0.020007333275944093,988.8554959879658,0.21765321954215344,502.6751145462369,1.1607481213009025
153,109.67634985372115,7.9542439343843245,162.99334973641606,35.8180331924506,27.474333314513725,0.5414099101996522,4.792552489345694,0.020071029729234482,988.8529782107059,0.21755257440096293,502.69083501131763,1.1544460209388607
154,109.51735907669007,8.50045915177192,162.78149717492653,36.99880746640175,27.456118097646925,0.5440826484031404,4.79404338466703,0.02024285954601064,988.847926946642,0.21659134589590612,502.6454304795838,1.1745464972194093
155,109.35394933478214,8.43070813443553,162.58191023058436,37.857924083145534,27.423808887915992,0.5344948884204044,4.8003308680905015,0.022403983725719303,988.8445112509359,0.21761088670970521,502.66525985597303,1.1611664916080136
156,109.16071796898157,9.154609314387336,162.44257869009024,38.12926613691862,27.381462200943698,0.5874734198205492,4.806251014260178,0.024310435533647524,988.838993257632,0.21884590212152455,502.70031388009863,1.1460003429279784
157,109.01754727230028,8.889958532480506,162.21708721941548,40.78989846469631,27.346433270048077,0.5503401138397671,4.816508055460699,0.025489392773178642,988.821981598184,0.22445766790606325,502.71936797120276,1.1224687158601248
158,108.87945613589247,8.620145296955014,161.9284764296422,41.8257515358275,27.31059014736718,0.5361355769987199,4.827105072326918,0.026538429188990374,988.8111493263619,0.22623374499362553,502.75495100740557,1.0842865190310256
159,108.83463029017999,8.608278138794178,161.78067736591058,40.68153081565156,27.277857027458655,0.5530388831912447,4.839613722998886,0.02623794152330731,988.7982500501129,0.23216940586055765,502.78884229118347,1.0705538848249865
160,108.69175832021432,8.259784043851354,161.79507575516624,40.728399714811886,27.233844993746146,0.5498604267305012,4.850977001031621,0.024776612207924268,988.7853525972927,0.24204573056678313,502.81876312956825,1.0165078971961523
161,108.54419619530888,7.876490714428093,161.4702770905881,42.2162012896765,27.20276472795031,0.5135186661226878,4.862475615609593,0.02328776806308303,988.7736826311811,0.2559980034156146,502.8212130227392,1.016887500098119
162,108.4220712163879,7.8021217117654516,161.33756045433603,42.18041397859409,27.180959229102456,0.5223666626844407,4.876312436789195,0.0243665624707753,988.7613589295776,0.2778316404295692,502.8186237678945,1.0181801426168466
163,108.26161268756283,7.986291221584839,161.06618216786006,42.583827368914044,27.147300642571437,0.5356806864967121,4.886020582141783,0.027033483702771227,988.7511700864119,0.2913612506923276,502.8488891520421,0.9397359793870556
164,108.17426477840829,7.7644566848226,160.74439826507788,38.833254594875285,27.11059730334121,0.5825739424822887,4.89548087704673,0.032117397688496994,988.7241614119495,0.33241869934495016,502.891598454739,0.989692289907293
165,107.98368090160331,7.114241405232816,160.41767414072723,39.55602550704092,27.070665262724898,0.6018323872525512,4.9106747206106265,0.044622130801786314,988.6969157865642,0.383330028570691,502.8607261590658,1.0043584693293488
166,107.91454565395303,6.769887353430563,160.2510109659183,38.51575213709442,27.010596866667427,0.6063362995317916,4.923124058706452,0.05444708516521186,988.6621515035098,0.4672259881766343,502.87666048572447,1.033901568119509
167,107.8263870945153,6.519663203318609,159.80392606060585,33.216478950809424,26.954753108817922,0.671826299722768,4.9374548931224185,0.06586219715136556,988.6180947868769,0.5916468127245931,502.89017351862617,0.9995951876681305
168,107.66761922186308,6.422147829188243,159.57469496687915,33.84415201451891,26.912727768287382,0.6653787198757756,4.949073790650959,0.07389335036794117,988.5717457280733,0.7304056194664514,502.9137612491945,1.0660969948642236
169,107.5111555693687,6.315345400313342,159.278192456794,32.251961663596894,26.862064504031697,0.7369705229795165,4.959983643037764,0.0814877330949914,988.5210201318208,0.8816063247359115,502.9558662687204,1.0634784886420312
170,107.39356525161797,6.265477935101172,159.24351723115512,32.010463332450826,26.808568193588904,0.7422448321601783,4.977844449529772,0.09652119078309075,988.4742051784935,1.0497073565759567,502.967972517409,1.0576333483529496
171,107.35501852233834,6.293130758314388,158.92253122636012,30.172048339432177,26.76728055766694,0.7580452322570201,4.9979208208269315,0.11343333466181783,988.4284691397363,1.1788840368474145,503.013897202698,1.0788693297988525
172,107.13349250144267,7.219723707289308,158.80783750138022,30.285179692318525,26.706111335620356,0.7899661534748246,5.022004818836228,0.1297092513589058,988.3847783858713,1.3102024460124195,503.0797146023608,1.0569219438784685
173,107.00611603643306,6.881643389081992,158.61594857313364,30.137758398849893,26.668560069267528,0.759228727921059,5.044074235237668,0.14097615224078677,988.3320715970873,1.4707901682066566,503.12689938994015,1.033587728181819
174,106.85272562106286,6.8667929777176395,158.44644503708167,30.21700116467093,26.638790665157117,0.7815638192719183,5.0650054906636,0.14980181672164355,988.2706085864759,1.6743145464990408,503.13148842619967,1.0402537409833723
175,106.75873741023477,6.879335060859132,158.4369031795442,30.193011860790904,26.583372177254027,0.8739266037473531,5.084411665759015,0.1557827939641924,988.2086469756734,1.8748019381100438,503.1305290395531,1.039042792355216
176,106.5802223129647,7.455292578742037,158.49642756516675,29.865415418498408,26.55649988336444,0.8718505718549507,5.1037612805051875,0.1573654406313231,988.1413160515361,2.0889873182272134,503.1652564225177,1.1044135322314994
